"id_room","title","source_id","dating_original","dating_start","dating_end","room_functions","iconclasses","iconclassses_level_0","iconclassses_level_1"
"446","Festsaal","ed3dc959-18ed-4114-befe-c0de341c84e2",,,,"HALLS","11D121,11F2,11M31,11M32,11MM41,11MM42,11MM43,11MM44,11NN32,11NN33,11NN35,11NN36,11P11,11P31111,11P31131,22C31,23D4,23R11,23R113,23R13,23R14,24,24A6,24D,25F24(STAG),25F28(BAT),25F33(EAGLE),25F33(FALCON)(+13),25F34,25F35(Parrot),25F42,25G3(LAUREL)(+221),25G3(OLIVE-TREE)(+221),25G41(POPPY),25G41(Rose),25H216,26A,31A22210,31A511,31AA3191,33C91,34B11,34B12,41A3281,41A422,41A541,41B121,41B32,41C321,41C711,41D2632,43A421,43C1147,44A1(+6),44B191,44B192,44BB191,44G3129,45A232,45C11(SPEAR),45C13(SWORD),45C14(PIKE),45C15(BOW AND ARROW),45C22,45C221,46B3311,46C13142,46C215(ANCHOR),47D8(CHAIN),47G52,47I21211,47I2133,48C161,48C7352,48CC7352,52A51(+2),52AA1(+2),52B5(+2),53A1(+2),54A44(+1),57A6(+2),59B32(+2),59CC2(+2),71Y4,92B11221,92B37,92C37,92C38,92D191,92D1916,92M27,96A237","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,7,9,9,9,9,9,9,9,9","11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,22,23,23,23,23,23,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,26,31,31,31,33,34,34,41,41,41,41,41,41,41,41,43,43,44,44,44,44,44,45,45,45,45,45,45,45,46,46,46,47,47,47,47,48,48,48,52,52,52,53,54,57,59,59,71,92,92,92,92,92,92,92,96"
"449","Die Bibliothek","e2d011c0-01bb-4ba2-bd19-1d80efafe3d5",,,,,"23A,23A1,23A2,33A14,92C1,92C47,92D1916,92H1411,96B66","2,2,2,3,9,9,9,9,9,9","23,23,23,33,92,92,92,92,92,96"
"452","Audienzzimmer","da0c677f-608b-4ab8-82cc-44f460e6a17c",,,,"PRESENCE_CHAMBERS","94C113","9","94"
"455","Das sog. Kronprinzenschlafzimmer (Blaues Schlafzimmer)","b65ff8aa-7c39-4b93-8ebd-7ac3635a487c",,,,"BEDROOMS","92B5,92C4,94C133","9,9,9","92,92,94"
"458","Der sog. Theatersaal und seine verlorene Malerei","7a15b8d9-3530-41f6-97b0-359720c4d842",,,,,"11M44,23D,49C,49C1,49C13","1,2,4,4,4","11,23,49,49,49"
"461","Schlafzimmer im ersten Obergeschoss","5b8c4a2b-4787-4ad5-aa25-e78b31e83471",,,,,"11N32,23A2,24A6,25F23(LION)(+1),25HH2130(LECH),31AA2352,45A2,45A233,46B0,51H42,52A2,54A11,54EE31,54F12,57AA61,57AA76,59B32,59C2,7(+1),71X1(PS 85:10)4,71X1(PS85:10)4(+1),92B5,92B58,92B58(CADUCEUS),92B58(PETASUS),92B58(WINGED SANDALS),96A5","1,2,2,2,2,3,4,4,4,5,5,5,5,5,5,5,5,5,7,7,7,9,9,9,9,9,9","11,23,24,25,25,31,45,45,46,51,52,54,54,54,57,57,59,59,7(+1),71,71,92,92,92,92,92,96"
"464","Das so genannte Billardzimmer","68f7a15a-f471-40d3-8ccd-0e92b807304a","1841-1842","1841","1842",,"25I153,45,45D311,45L311,45L3111,46C1313,48C2,48C5,48C7,48C72,48C75,49E1,49E11,57AA6221,59B32,91B111,92B1,92B3,92C2","2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,9,9,9,9","25,45,45,45,45,46,48,48,48,48,48,49,49,57,59,91,92,92,92"
"467","Hauptraum","75e68cf4-3c37-4723-8825-85463c5fdea4",,,,"ROYAL_CHAPELS_ROOMS","11D324(+0),11F2412,11F25,11H(AMBROSE),11H(AUGUSTINE),11H(GREGORY),11H(JEROME),11H(JOHN),11H(LUKE),11H(MARK),11H(MATTHEW),11I4,11I421,11I422,11I423,11I424,11I51(+0),11I62(ADAM),11I63(EVE),11L211,11P31111,11P31121,11P31131,26A,31A21,41A421,41A721,41A723,41AA1,44B193,45C13(SWORD),48A98211,48A9872,48A9875,48A9876,48AA9853,48C7352,49MM32,49N21,73A52,73D66,73D82(CROSS),73D82(LANCE),73D82(NAILS),73D82(PINCERS),92D1916","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,9,9,9,9","11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,26,26,31,41,41,41,41,41,41,41,41,41,41,41,41,44,45,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,49,49,49,49,49,49,49,49,73,73,73,73,73,73,73,92,92,92,92"
"470","Das Audienzzimmer","bdff554d-ed4a-464d-94bb-c2f2250c243b","1727-1734","1727","1734","PRESENCE_CHAMBERS",,,
"473","Das Vorzimmer des Württembergischen Gemachs","a8f698c1-145f-4f89-af78-d0a1a90d21d8",,,,,,,
"476","Kabinett I","77d0399d-f603-4ccf-89a6-c10aa268f9c4","1714-1719","1714","1719","CABINETS_ROOMS","11I16,31A534,31D14,49N","1,3,3,4","11,31,31,49"
"479","Zimmer im zweiten Obergeschoss","2663b645-6d35-443e-b8e3-1c28977f000e",,,,,,,
"482","Das Schlafzimmer des Clemens August","d6fe4fdb-6c9e-4b89-88e9-04785c3aef1c","1737-1747","1737","1747","BEDROOMS","11H(HUBERT)34,22D9,31B1,43C11,92D1916","1,2,3,4,9","11,22,31,43,92"
"485","Spiegelkabinett","d09e1559-f4f2-4caa-8213-059a085d28d7",,,,,,,
"488","Der Hauptsaal","1d42cfc3-07f7-4ffc-9ab3-6bbd7be13bec",,,,,,,
"491","Der Eingangsflur im Appartement der Kurfürstin","0f1f5963-a2f4-4b34-8d46-06a6e8b738a9","1696-1698","1696","1698","CORRIDORS","52A6,57A75","5,5","52,57"
"494","Das Audienzgemach: Samtzimmer (837)","d928a6b2-6a48-405e-b496-937df9f81efa",,,,"PRESENCE_CHAMBERS","92B37","9","92"
"497","Erker des Maria-Theresia-Salons","2f5ace2a-16ec-4d15-a30f-2852c3cd59c2",,,,,"46A122,48A98331","4,4","46,48"
"500","Das Grüne Eckkabinett","6928bce0-e015-4e86-828d-3b352885f4df","1744","1744","1744","SALONS_ROOMS_FOR_ENTERTAINING",,,
"503","Der Hauptsaal","be464171-90c2-402e-ba0d-293d2fbd78e2","1601","1601","1601","MAIN_HALLS","25H,48C1","2,4","25,48"
"506","Das Treppenhaus","172c3423-e634-4f6a-9be4-ddb0007e8e31",,,,,,,
"509","Das Turmkabinett","a9d8b420-cf16-4434-b43a-ccca6bbdd88f","1591, 1747-1748","1591","1748",,"11M41,11M44,44B10,49K10,52A6,57A71,91B111,92B371,92E54,96A23","1,1,4,4,5,5,9,9,9,9","11,11,44,49,52,57,91,92,92,96"
"512","Die Englische Treppe","3a2c0a53-5e4f-4031-b239-737bee82b739","1692/93, ab 1718",,,"STAIRWELLS",,,
"515","Rote Adler-Kammer (795)","345820b3-8c20-44bb-a1a1-d9f11c8b25ae","um 1700","1700","1700",,"25H,41A381,44B191,51KK11,52A6,59B32,91B111,92B1,92B4,92B5,92C1,92C27,92D1916,92H1,92N1,92N1231,94L7,96A5(INVIDIA)","2,4,4,5,5,5,5,9,9,9,9,9,9,9,9,9,9,9,9,9","25,41,44,51,52,52,59,91,92,92,92,92,92,92,92,92,92,94,94,96"
"518","Saal","8551f060-c7f7-11e9-b70b-d3ef6d0103b8","1758-61, Restaurierung 1981",,,"MAIN_HALLS",,,
"521","Marschallzimmer","9e454d70-a7d6-427a-9208-73b5b6bb876f",,,,"MANSION_DINING_ROOMS","92L178","9","92"
"524","Die Westwand des Neugebäudes","b5cd2a4a-a57e-425e-b208-50663730297d",,,,,"41A6","4","41"
"527","Gartenzimmer","74501ff9-ac2c-4704-a6c3-121efd03f21e","1753","1753","1753","CABINETS_ROOMS",,,
"530","Unteres Vestibül","19daeb90-9e99-4436-a59c-2c24f0a870e9","1711-1712","1711","1712","VESTIBULES","59B32,59B5","5,5","59,59"
"533","Kabinett","3ea4f3e7-d6f3-4fae-9d5b-83d48b75fe83",,,,"CABINETS_ROOMS",,,
"536","Das westliche Kabinett","d1e0c261-30a8-478f-9560-4fad930d76b5","1696-1698","1696","1698","CABINETS_ROOMS","48C75,92C478,92D1916","4,9,9","48,92,92"
"539","Schlosskapelle Heilige Dreifaltigkeit","93785733-9d7b-49a6-b669-67ce4b634552",,,,"ROYAL_CHAPELS_ROOMS","11B113,11D121,11G,11G191,11G21,11H(JOHN),11H(LUKE),11H(MARK),11H(MATTHEW),11I431,22C3","1,1,1,1,1,1,1,1,1,1,1,1,2","11,11,11,11,11,11,11,11,11,11,11,11,22"
"542","Ehemaliges Indianisches Kabinett","8c1842dd-9d40-446e-b681-1c4d78c94094","1706-1710","1706","1710","CABINETS_ROOMS",,,
"545","Die Schlafkammer des Großen Kurfürsten (801/803)","cde7a5ad-5307-4943-85df-b65497a068ef","1680","1680","1680","BEDROOMS","98B(ACHILL)9,98B(HESIOD)9,98B(HOMER)9,98B(TETIS)9","9,9,9,9","98,98,98,98"
"548","Raum mit chinesischer Tapete / Vorzimmer des Altgrafen (?)","a34881ea-53e1-4e72-beef-58171e8cea00",,,,"ANTEROOMS,SALONS_ROOMS_FOR_ENTERTAINING",,,
"551","Die Diele","7212eef0-1254-45d8-a1b6-28b1594a007d","1550, 1650-1680","1550","1680",,"48A98211,48A9832","4,4","48,48"
"554","Zimmer beim Treppenhaus","c60e5e04-1bf6-46f0-bbb1-5fcd0d95e14f",,,,,"23D42,96A23","2,9","23,96"
"557","südwestlicher Annex-Raum","82b5e900-c4e7-11e9-b749-4304394980a4",,,,,"25B,26C121,26C127,92B171,92B371,92C371,92D1916,92D22,92D3,92E5121,92E52,92E53,92E5421,94R(Castor),94R(Pollux)","2,2,2,9,9,9,9,9,9,9,9,9,9,9,9","25,26,26,92,92,92,92,92,92,92,92,92,92,94,94"
"560","Das ehemalige so genannte Billardzimmer","00746264-0c94-41c0-9097-d057db7941e2","1715-1723, 1745","1715","1745",,"92D1916","9","92"
"563","Das ehemalige sog. Zimmer mit dem Münzschrank","128c6867-7465-4040-8474-e145caa394fa",,,,,"23D43","2","23"
"566","Das Zimmer des Winters","4383cd1f-dc8c-49b4-882a-28f5479715a0","1696-1698","1696","1698",,"23G21,23O1,24C221,32A14,41B211,91B1118(SCYTHE)","2,2,2,3,4,4,4,9","23,23,24,32,41,41,41,91"
"569","Der Saal im  Obergeschoss","2d33fe09-0903-4db5-835d-f8db5456722a","1600","1600","1600","HALLS","11G1911,31A45,48A983","1,3,4","11,31,48"
"572","Die Bohlenstube im ersten Obergeschoss","fd7934b7-024b-485f-95b1-ae919a466fa5","1567, 1680","1567","1680","HALLS","25F3,41A413,43C11,43C111,43C11124,43C114,43C1147,47I422,47I4223,48A98312","2,4,4,4,4,4,4,4,4,4","25,41,43,43,43,43,43,47,47,48"
"575","Empfangszimmer","62defc5c-6281-4724-9418-60925a17d139",,,,,"25C12,25D12,47I221,48C5153,48C7323,48C7332,48C73411,48C7351,48C73512,48CC753,91B111,92C1,92C2,92D4,92D8,92H32,92I22,92L1,92M1,92N171,93E4,94L,94O,96A128(SCHLUESSEL)","2,2,4,4,4,4,4,4,4,4,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9","25,25,47,48,48,48,48,48,48,48,48,91,92,92,92,92,92,92,92,92,92,92,93,94,94,96"
"578","Der Saal im ersten Obergeschoss","04e4d934-8a29-48bf-b993-dc0bb19d25e7","um 1780","1780","1780","BANQUET_HALLS","25G41,31D11221,31D16,34B11,34B12,41A17,41A343,41C41,42A3,42A5,43B31,43C51,43C7,46C1261,47I15(BESEN),47I15(KORB),47I15(SEILE),47I15(SIEBE),47I17(HAY),47I2141,48C72,92L418","2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9","25,31,31,34,34,34,41,41,41,41,42,42,43,43,43,43,46,47,47,47,47,47,47,48,92"
"581",",Gallerie' (800): Programm und Synthese","bde60771-2c0f-4673-bcb9-406cfc62b58f","1680 bis 1683",,,,,,
"584","Der ehemalige Saal im ersten Obergeschoss","cfe0c2dd-5311-48f2-b765-708500803f9d","1600-1630","1600","1630","MAIN_HALLS","25F24(STAG),25HH1,25HH2,31A456,46C13183,48A983,48A98312,92D1916","2,2,2,3,4,4,4,9","25,25,25,31,46,48,48,92"
"590","Chinesisches Zimmer","ae5ef0ef-420c-470d-82e9-6fdc5716208f",,,,,,,
"593","Der ehemalige Hauptsaal","fe5a62c8-f0be-49db-b85b-7c4301b148f6","1563-1565","1563","1565","MAIN_HALLS",,,
"596","Kleines Schlafgemach im  Appartement Kurfürstin Sophie Charlottes","0d1b5e02-57f8-49ca-b676-342e6f24abdc","1685/1690","1685","1690","BEDROOMS","92C4211,92D1521","9,9","92,92"
"599","Das südliche Nebenzimmer","df073173-3803-459d-bdf4-5f12b0c2cdfb",,,,,,,
"602","Raum","287c6f6f-9afb-4114-bac0-094bc79b244f","1685/1690, Erweiterung: 1890",,,,"11G1911,92E517","1,9","11,92"
"605","Das Audienzgemach","d4d8db15-d836-4d3f-98ce-91f9cbe785ea",,,,"PRESENCE_CHAMBERS","92D1916","9","92"
"608","Bibliothek","cbbaaa7e-b741-4f73-8d54-6d443c2f3bbf",,,,"LIBRARIES_ROOMS",,,
"611","Das Musizimmer","e506eef4-a13e-4721-ae04-5a048be2bbee","1726-1727","1726","1727",,"73B57","7","73"
"614","Das Vorzimmer (Roter Salon)","65d41ef1-b748-4687-9be4-f78d2068af77","1715-19","1715","1719","ANTEROOMS","92C45,96B661,96C(AENEAS)5","9,9,9","92,96,96"
"617","Das Paradeschlafzimmer","6f32335a-e5f4-461b-853c-e1fd34f0b045","1718/1719","1718","1719","BEDROOMS",,,
"620","Das sogenannte Gelbe Gemach","fb218b78-5b32-4232-9c40-38ccf59535d7","1686-1688","1686","1688","ANTEROOMS","25HH","2","25"
"623","Das Schlafzimmer im so genannten Churfürstlichen Gemach","5495e25c-5902-400f-b2a5-aa7155bd80a5","1705-1712","1705","1712","BEDROOMS",,,
"626","Vorsaal im 2. Obergeschoss","bf63ebd0-c989-11e9-b2ea-736429dfecd5","1685-90","1685","1690",,,,
"629","Der Turmsaal","a789a90e-40b0-45c9-bb9e-4afa231146fa","1686-1688","1686","1688","HALLS",,,
"632","Das ehemalige Vorzimmer","e056d280-4996-4ae4-8fa1-acfae16e96e9",,,,,"23D4,44B10,96B11","2,4,9","23,44,96"
"635","Das ehem. Napoleonzimmer im ersten Obergeschoss","977ea77a-6936-4f28-87b8-55b12aa70941","1788-1792","1788","1792",,"43C912,48A98,9(+0)","4,4,9","43,48,9(+0)"
"638","Arbeitskammer","f30523e2-3fc0-4cb8-9660-370c0e7ea64d","Datierung: ab 1715, Erweiterung ab: 1735,  Ausstattung: zwischen 1736-1750",,,,,,
"641","Der Südliche Vorraum zum Hauptsaal","8ce63ee7-5e4a-4ae6-8e9f-4a160fb03d40",,,,,,,
"644","Der Zuschauerraum","a00c425c-5f9a-4118-a0ed-ef22f5b3e1e2","1727-1728","1727","1728","THEATERS_ROOMS","92B373,92B3731,92B5,92D421,92D424,92D425,92D426,93D1","9,9,9,9,9,9,9,9","92,92,92,92,92,92,92,93"
"647","Rittersaal (792)","0c8e5591-1b4d-41ca-bc8f-aed26d80a9fe","1702-1703","1702","1703","BANQUET_HALLS","44A51,44A51(...),52A2,92D1916","4,4,5,9","44,44,52,92"
"653","Hauptsaal","95eea590-efcf-4578-b99f-e918e529ea7a","1682","1682","1682","MAIN_HALLS","11M4,42A18,96A27","1,4,9","11,42,96"
"656","Zimmer mit Pax, heute östliche Hälfte Dianasaal","d35fc6a8-52ff-4521-acd9-d94cee9b31c9",,,,,"96A5(PAX)","9","96"
"659","Die Hofbibliothek","8054084a-db5d-4631-b30a-7fb721e57218",,,,"LIBRARIES_ROOMS","98B(CAMBYSES)51","9","98"
"662","Das Obere Vestibül","212c17db-e5f4-4212-8302-16471987d20e",,,,"VESTIBULES",,,
"665","Der Hauptsaal","c885430f-cc23-46f1-84c8-12d628109f8e","1744-1748","1744","1748","MAIN_HALLS","61B2","6","61"
"668","Redoutensaal","e44c4202-4c54-4d91-ac0a-1de19ce19c16","1697-1834","1697","1834","MAIN_HALLS",,,
"671","Das östliche Kabinett","afffa305-635d-4127-99d7-085d21fa3ed5","1696-1698","1696","1698","CABINETS_ROOMS","59B32","5","59"
"674","Das sogenannte Eckgemach","86d7d467-d8c3-4617-bcaa-79e9b47f2737","1686-1688","1686","1688","CABINETS_ROOMS","25HH","2","25"
"677","Marmorsaal","0b74ecc2-c55a-487f-abc5-543e02ac8bb5","vor 1719",,,"HALLS","31AA236,41A541,44A1(+1),48(+321),48A9875,61B2(AUGUSTUS-III-OF-POLAND)1,61BB2(CHRISTIANE-EBERHARDINE-OF-BRANDENBURG-BAYREUTH)1,91B111,92B3711,92D1916,92E178,92E4,92E54,94L321,96A43","3,4,4,4,4,6,6,9,9,9,9,9,9,9,9,9","31,41,44,48,48,61,61,91,92,92,92,92,92,92,94,96"
"680","Vorsaal","957662d5-3e63-4c43-b2df-2f668043b8bd","1707-1710","1707","1710","ANTE_HALLS","5(+4)","5,5,5,5,5,5,5,5,5","5(+4),5(+4),5(+4),5(+4),5(+4),5(+4),5(+4),5(+4),5(+4)"
"683","Blaubartzimmer (843)","53a25853-5e9f-469f-9372-9a52e51270c2","um 1700","1700","1700","ANTEROOMS",,,
"686","Grotte","6ca7860d-1606-4559-abd0-bc59af081228","1715-1720","1715","1720",,"97","9","97"
"689","Der so genannte Große Salon","1d096334-e3ef-4319-be60-654850d18283","1698-1710","1698","1710","MAIN_HALLS","21A,21B,21C,21D,92C4,92D1,92D1916,92I2278,92M1,92N171,93E4,96A23,96A5(FAMA)","2,2,2,2,9,9,9,9,9,9,9,9,9","21,21,21,21,92,92,92,92,92,92,93,96,96"
"692","Der Salon","2a742ec3-3f2a-4484-837e-2545a05f8800","1737-1747","1737","1747","MAIN_HALLS","21,21A,21B,21C,21D,23D4,23D41,23D42,23D43,23D44,41B211,43C244,92D1916,92L1,92M1,96A23","2,2,2,2,2,2,2,2,2,2,4,4,9,9,9,9","21,21,21,21,21,23,23,23,23,23,41,43,92,92,92,96"
"695","Die Schlosskapelle","d7e54bd7-27e4-493f-afa9-4dc4c20c17dc","1167, 1718-1721","1167","1721","ROYAL_CHAPELS_ROOMS","11B113,11M31,11M312,11M32,11M33,11M41,11M43,11M44,42D330,44B610,45A20,54A44,61BB2","1,1,1,1,1,1,1,1,4,4,4,5,6","11,11,11,11,11,11,11,11,42,44,45,54,61"
"698","Florentiner Kabinett","493812a1-7428-43ca-8945-535826962a97",,,,"CABINETS_ROOMS",,,
"701","Speisezimmer","37439371-0b72-44c7-a561-a7f09e2ed73a",,,,,,,
"704","Audienzzimmer","064a2364-82fe-4841-8711-32f04f8ecaa7","1706-1710","1706","1710",,"31B1,41A191,44A1,45A20,45B433,45C9,45D1,45I1,45I6,45L3111,46A1241,92B47,92D1916","3,4,4,4,4,4,4,4,4,4,4,9,9","31,41,44,45,45,45,45,45,45,45,46,92,92"
"707","Die Schlosskapelle","c8c2a553-d951-4762-b703-2fac86551881",,,,,,,
"710","Das Gartentafelzimmer (216): Bibliotheks- und Schreibzimmer","0a2f79db-fcc4-4dd7-9966-521d2e450165","um 1680","1680","1680",,,,
"713","Treppenhaus","fbd529fc-ba25-4fbf-a022-fefa0f3444a7","1780","1780","1780","STAIRWELLS","44B191","4","44"
"716","Treppenhaus","c7aed57c-0ac9-4aa4-ae6b-c55aa1e4089f",,,,"STAIRWELLS",,,
"719","Eckzimmer bei der Kapelle","f0890cb3-b983-4e3a-915f-22c66c0059da",,,,,"23D44,96A28","2,9","23,96"
"722","Loggia-Zimmer","2a679b20-c5bb-11e9-b6fd-d99e1ba53a95",,,,,"25II9","2","25"
"725","Das Audienzzimmer des Herzogs","72b6cceb-d580-4421-bcbb-5d7dcce5352b","1680-1686","1680","1686","PRESENCE_CHAMBERS","25HH","2,2","25,25"
"728","Das Marschalltafelzimmer","d1c0a6d4-2255-4674-b54b-a5cc033dda98",,,,,"11M31,11M33,25F36,31A233,33A14,34B11,41A3281,46B311,5(+11),51H4,55B1,92B11221,92D1916","1,1,2,3,3,3,4,4,5,5,5,9,9","11,11,25,31,33,34,41,46,5(+1),51,55,92,92"
"731","Salon des Ostappartements","a756dc72-af3d-4de1-8b34-1147844abb22",,,,,"92L111","9","92"
